City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
185,Zalantun,CN,48.0,122.7167,28.89,43,77,9.13,broken clouds,2021-10-30 14:57:05
186,Shaowu,CN,27.3409,117.4831,62.6,82,55,1.77,light rain,2021-10-30 14:57:05
187,Luwuk,ID,-0.9516,122.7875,77.68,89,80,3.22,broken clouds,2021-10-30 14:57:06
188,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,84,100,12.5,overcast clouds,2021-10-30 14:57:06
189,Yerbogachen,RU,61.2767,108.0108,32.7,79,100,10.87,overcast clouds,2021-10-30 14:57:06
190,Ca Mau,VN,9.1769,105.15,76.08,95,91,4.88,overcast clouds,2021-10-30 14:56:15
191,Coihaique,CL,-45.5752,-72.0662,48.81,53,20,5.75,few clouds,2021-10-30 14:57:07
192,Sur,OM,22.5667,59.5289,81.43,62,28,10.56,scattered clouds,2021-10-30 14:57:07
193,Bogale,MM,16.2833,95.4,77.52,89,100,3.36,overcast clouds,2021-10-30 14:57:08
194,Salihorsk,BY,52.7876,27.5415,50.9,64,13,10.18,few clouds,2021-10-30 14:57:08
195,Petrila,RO,45.45,23.4167,56.26,76,0,5.1,clear sky,2021-10-30 14:57:09
196,Popondetta,PG,-8.7537,148.2534,73.38,95,96,3.24,overcast clouds,2021-10-30 14:57:09
197,Yellowknife,CA,62.456,-114.3525,27.41,99,90,11.5,overcast clouds,2021-10-30 14:52:20
198,Road Town,VG,18.4167,-64.6167,86.04,66,20,9.22,few clouds,2021-10-30 14:57:10
199,Vydrino,RU,51.485,104.8461,38.43,66,12,5.03,few clouds,2021-10-30 14:57:10
200,Vrangel,RU,42.7297,133.0839,53.78,85,100,3.11,overcast clouds,2021-10-30 14:57:10
201,Bulgan,MN,48.8125,103.5347,30.52,75,28,2.39,scattered clouds,2021-10-30 14:57:11
202,Paithan,IN,19.4833,75.3833,74.28,55,13,8.39,few clouds,2021-10-30 14:57:11
203,Raudeberg,NO,61.9875,5.1352,54.19,69,67,3.0,broken clouds,2021-10-30 14:57:12
204,Port Shepstone,ZA,-30.7414,30.455,68.83,72,4,17.09,clear sky,2021-10-30 14:57:12
205,Sadat,IN,25.6833,83.2833,73.49,51,5,4.97,clear sky,2021-10-30 14:57:12
206,Talnakh,RU,69.4865,88.3972,18.16,96,100,4.34,light snow,2021-10-30 14:57:13
207,Fairbanks,US,64.8378,-147.7164,26.42,87,75,8.05,broken clouds,2021-10-30 14:57:13
208,Caravelas,BR,-17.7125,-39.2481,83.34,55,60,8.95,broken clouds,2021-10-30 14:57:13
